Numer RSPO;REGON;NIP;Typ;Nazwa;Kod terytorialny województwo;Kod terytorialny powiat;Kod terytorialny gmina;Kod terytorialny miejscowość;Kod terytorialny ulica;Województwo;Powiat;Gmina;Miejscowość;Rodzaj miejscowości;Ulica;Numer budynku;Numer lokalu;Kod pocztowy;Poczta;Telefon;Faks;E-mail;Strona www;Publiczność status;Kategoria uczniów;Specyfika placówki;Imię i nazwisko dyrektora;Data założenia;Data rozpoczęcia działalności;Data likwidacji;Typ organu prowadzącego;Nazwa organu prowadzącego;REGON organu prowadzącego;NIP organu prowadzącego;Województwo organu prowadzącego;Powiat organu prowadzącego;Gmina organu prowadzącego;Miejsce w strukturze;RSPO podmiotu nadrzędnego;Typ podmiotu nadrzędnego;Nazwa podmiotu nadrzędnego;Liczba uczniów;Tereny sportowe;Języki nauczane;Czy zatrudnia logopedę;Czy zatrudnia psychologa;Czy zatrudnia pedagoga;Oddziały podstawowe wg specyfiki;Oddziały dodatkowe;Zawód;Zawód artystyczny;Zawód w KPSS;Dziedzina BCU
"271907";"=""383776608""";"=""""";"Liceum ogólnokształcące";"CLXIV LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO";"=""14""";"=""1465""";"=""1465058""";"=""0918130""";"=""02709""";"MAZOWIECKIE";"Warszawa";"Mokotów";"Mokotów";"dzielnica m.st. Warszawy";"ul. Chełmska";"=""23""";"=""""";"=""00-724""";"Warszawa";"=""228411643""";"=""""";"lo164@eduwarszawa.pl";"https://lo-164.edupage.org/";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"JUSTYNA POST";"2019.04.11";"2019.09.01";"";"Miasto na prawach powiatu";"MOKOTÓW";"=""01525964000059""";"=""""";"MAZOWIECKIE";"Warszawa";"Mokotów";"samodzielna";"";"";"";"153";"";"angielski, niemiecki";"Nie";"Nie";"Tak";"ogólnodostępny, mistrzostwa sportowego";"";"";"";"";""
"39652";"=""015789094""";"=""5251570625""";"Liceum ogólnokształcące";"CXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA KILIŃSKIEGO";"=""14""";"=""1465""";"=""1465198""";"=""0920048""";"=""04946""";"MAZOWIECKIE";"Warszawa";"Żoliborz";"Żoliborz";"dzielnica m.st. Warszawy";"ul. Alojzego Felińskiego";"=""13""";"=""""";"=""01-513""";"Warszawa";"=""228390041""";"=""228390882""";"zs31@eduwarszawa.pl";"www.zs31.waw.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"1998.08.31";"1998.09.01";"";"Miasto na prawach powiatu";"ŻOLIBORZ";"=""01525964000191""";"=""""";"MAZOWIECKIE";"Warszawa";"Żoliborz";"szkoła/placówka wchodząca w skład jednostki złożonej";"19705";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ NR 31 IM. JANA KILIŃSKIEGO";"519";"";"angielski, hiszpański, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny, integracyjny";"";"";"";"";""
"105317";"=""140008355""";"=""""";"Liceum ogólnokształcące";"CXXIV LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE";"=""14""";"=""1465""";"=""1465108""";"=""0919810""";"=""23083""";"MAZOWIECKIE";"Warszawa";"Śródmieście";"Śródmieście";"dzielnica m.st. Warszawy";"pl. Trzech Krzyży";"=""4/6""";"=""""";"=""00-499""";"Warszawa";"=""226280431""";"=""226254720""";"instytutgluch@eduwarszawa.pl";"instytut-gluchoniemych.waw.pl";"publiczna";"Dzieci lub młodzież";"specjalna";" ";"2002.04.17";"2002.09.01";"";"Miasto na prawach powiatu";"MIASTO STOŁECZNE WARSZAWA";"=""015259640""";"=""5252248481""";"MAZOWIECKIE";"Warszawa";"Śródmieście";"szkoła/placówka wchodząca w skład jednostki złożonej";"14781";"Specjalny Ośrodek Szkolno-Wychowawczy";"INSTYTUT GŁUCHONIEMYCH IM. KS. JAKUBA FALKOWSKIEGO";"6";"";"angielski, Inny";"Nie";"Tak";"Tak";"specjalny";"";"";"";"";""
"39649";"=""015788315""";"=""5251569450""";"Liceum ogólnokształcące";"LXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA IGNACEGO WITKIEWICZA ""WITKACEGO""";"=""14""";"=""1465""";"=""1465198""";"=""0920048""";"=""04758""";"MAZOWIECKIE";"Warszawa";"Żoliborz";"Żoliborz";"dzielnica m.st. Warszawy";"ul. Elbląska";"=""51""";"=""""";"=""01-737""";"Warszawa";"=""226332404""";"=""226332414""";"lo64@eduwarszawa.pl";"www.liceum64.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"BEATA ZDANOWICZ";"1990.07.06";"1990.09.01";"";"Miasto na prawach powiatu";"ŻOLIBORZ";"=""01525964000191""";"=""""";"MAZOWIECKIE";"Warszawa";"Żoliborz";"samodzielna";"";"";"";"519";"bieżnie proste, boiska uniwersalne/wielozadaniowe";"angielski, francuski, hiszpański, niemiecki, rosyjski";"Nie";"Tak";"Tak";"o charakterze eksperymentalnym";"";"";"";"";""
"46647";"=""015771349""";"=""5221574788""";"Liceum ogólnokształcące";"LXXXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. BOHATERÓW NARWIKU";"=""14""";"=""1465""";"=""1465178""";"=""0988862""";"=""05590""";"MAZOWIECKIE";"Warszawa";"Włochy";"Włochy";"dzielnica m.st. Warszawy";"ul. Gładka";"=""16""";"=""""";"=""02-172""";"Warszawa";"=""228460048""";"=""228460048""";"sekretariat.zsbn@eduwarszawa.pl";"www.narwik.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"2002.04.17";"2002.04.17";"";"Miasto na prawach powiatu";"DZIELNICA WŁOCHY MIASTA STOŁECZNEGO WARSZAWY";"=""01525964000177""";"=""""";"MAZOWIECKIE";"Warszawa";"Włochy";"szkoła/placówka wchodząca w skład jednostki złożonej";"30981";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ IM. BOHATERÓW NARWIKU";"132";"";"angielski, hiszpański, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"52797";"=""152136836""";"=""""";"Liceum ogólnokształcące";"XIV LICEUM OGÓLNOKSZTAŁCĄCE";"=""24""";"=""2464""";"=""2464011""";"=""0930868""";"=""22659""";"ŚLĄSKIE";"Częstochowa";"Częstochowa";"Częstochowa";"miasto";"ul. Targowa";"=""29""";"=""""";"=""42-202""";"Częstochowa";"=""34-324-14-11""";"=""""";"zsme@edukacja.czestochowa.pl";"";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"2002.01.31";"2002.09.01";"";"Miasto na prawach powiatu";"GMINA MIASTO CZĘSTOCHOWA";"=""151399002""";"=""""";"ŚLĄSKIE";"Częstochowa";"Częstochowa";"szkoła/placówka wchodząca w skład jednostki złożonej";"43822";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ MECHANICZNO-ELEKTRYCZNYCH IM. KAZIMIERZA PUŁASKIEGO";"0";"";"";"Nie";"Tak";"Tak";"";"";"";"";"";""
"29142";"=""000251311""";"=""7821415125""";"Liceum ogólnokształcące";"XIV LICEUM OGÓLNOKSZTAŁCĄCE IM. KAZIMIERZA WIELKIEGO";"=""30""";"=""3064""";"=""3064011""";"=""0969400""";"=""16052""";"WIELKOPOLSKIE";"Poznań";"Poznań";"Poznań";"miasto";"os. Piastowskie";"=""106""";"=""""";"=""61-164""";"Poznań-Nowe Miasto";"=""618773632""";"=""""";"sekretariat@gs.czternastelo.pl";"www.czternastelo.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"KATARZYNA SZPAK";"1990.09.01";"1990.09.01";"";"Miasto na prawach powiatu";"MIASTO POZNAŃ";"=""631257822""";"=""""";"WIELKOPOLSKIE";"Poznań";"Poznań-Stare Miasto";"samodzielna";"";"";"";"787";"boiska do siatkówki plażowej, boiska uniwersalne/wielozadaniowe";"angielski, francuski, hiszpański, niemiecki, rosyjski, włoski, rumuński";"Nie";"Tak";"Tak";"ogólnodostępny";"Oddział przygotowawczy";"";"";"";""
"6593";"=""000719487""";"=""9452169802""";"Liceum ogólnokształcące";"XIV LICEUM OGÓLNOKSZTAŁCĄCE IM. MIKOŁAJA KOPERNIKA W KRAKOWIE";"=""12""";"=""1261""";"=""1261029""";"=""0950470""";"=""02706""";"MAŁOPOLSKIE";"Kraków";"Kraków-Krowodrza";"Kraków-Krowodrza";"delegatura";"ul. Józefa Chełmońskiego";"=""24""";"=""""";"=""31-322""";"Kraków";"=""126374674""";"=""""";"lo14@mjo.krakow.pl";"xiv-lo.krakow.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"ANNA RYMASZEWSKA";"1957.09.01";"1957.09.01";"";"Miasto na prawach powiatu";"GMINA MIEJSKA KRAKÓW";"=""351554353""";"=""""";"MAŁOPOLSKIE";"Kraków";"Kraków-Śródmieście";"samodzielna";"";"";"";"443";"boiska do siatkówki, boiska do koszykówki, boiska do piłki nożnej";"angielski, hiszpański, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"12098";"=""050551617""";"=""5422670783""";"Liceum ogólnokształcące";"XIV LICEUM OGÓLNOKSZTAŁCĄCE IM. RYSZARDA KACZOROWSKIEGO W BIAŁYMSTOKU";"=""20""";"=""2061""";"=""2061011""";"=""0922410""";"=""23381""";"PODLASKIE";"Białystok";"Białystok";"Białystok";"miasto";"ul. Upalna";"=""26""";"=""""";"=""15-668""";"Białystok";"=""856613227""";"=""856613229""";"lo14@um.bialystok.pl";"http://www.14lobialystok.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"LESZEK KOCHANOWSKI";"1997.03.10";"1997.09.01";"";"Miasto na prawach powiatu";"MIASTO BIAŁYSTOK";"=""050658640""";"=""""";"PODLASKIE";"Białystok";"Białystok";"samodzielna";"";"";"";"546";"boiska do piłki nożnej, boiska uniwersalne/wielozadaniowe";"angielski, niemiecki, rosyjski";"Nie";"Tak";"Tak";"ogólnodostępny, przygotowania wojskowego";"";"";"";"";""
"25801";"=""015765320""";"=""""";"Liceum ogólnokształcące";"XIV LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA STASZICA W WARSZAWIE";"=""14""";"=""1465""";"=""1465068""";"=""0918643""";"=""14495""";"MAZOWIECKIE";"Warszawa";"Ochota";"Ochota";"dzielnica m.st. Warszawy";"ul. Nowowiejska";"=""37a""";"=""""";"=""02-010""";"Warszawa";"=""228251325""";"=""228256899""";"staszic.lo14@eduwarszawa.pl";"www.staszic.waw.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"AGNIESZKA POTOCKA";"1906.01.14";"1906.09.01";"";"Miasto na prawach powiatu";"OCHOTA";"=""01525964000066""";"=""""";"MAZOWIECKIE";"Warszawa";"Ochota";"samodzielna";"";"";"";"900";"boiska do siatkówki, boiska do koszykówki, boiska do piłki nożnej";"angielski, hiszpański, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
