Tag_name,language_version_with_no_origin
OIG1,en
IOI2009,pl
IOI2008,pl
CEOI2011,pl
CEOI2010,pl
CEOI2004,pl
PA2013,en
PA2012,en
PA2011,en
PA2010,en
PA2009,en
PA2008,en
PA2007,en
PA2006,en
OI21,en
OI20,en
OI19,en
OI18,en
OI17,en
OI16,en
OI15,en
OI14,en
OI13,en
OI12,en
OI11,en
OI10,en
OI9,en
OI8,en
OI7,en
OI6,en
OI5,en
OI3,en
OI2,en
ONTAK2013,en
ONTAK2012,en
ONTAK2011,en
ONTAK2010,en
ONTAK2009,en
ONTAK2008,en
ONTAK2007,en
AMPPZ2014,en
AMPPZ2013,en
AMPPZ2012,en
AMPPZ2011,en
BOI2015,en
BOI2008,en
ILOCAMP11,en
SERWY2010,en
